name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
karpathy/LLM101n,34233,2024-05-27T00:23:38Z,2024-08-01T01:20:33Z,N/A,0,0,0,0
huiyadanli/RevokeMsgPatcher,34231,2019-07-21T15:12:52Z,2025-08-15T14:56:42Z,C#,21,11,892,834
geekan/HowToLiveLonger,34204,2022-04-16T04:15:18Z,2025-05-19T14:10:41Z,N/A,0,14,138,103
zenorocha/clipboard.js,34159,2015-09-18T23:04:55Z,2025-08-06T18:47:39Z,JavaScript,42,117,629,618
ManimCommunity/manim,34153,2020-05-19T02:37:13Z,2025-08-21T20:59:47Z,Python,29,1926,1680,1307
portainer/portainer,34124,2016-05-19T20:15:28Z,2025-08-21T13:13:44Z,TypeScript,162,4777,5896,5280
myshell-ai/OpenVoice,34107,2023-11-29T12:17:01Z,2025-04-19T16:00:00Z,Python,0,17,316,67
solidjs/solid,34090,2018-04-24T16:36:27Z,2025-08-13T17:14:50Z,TypeScript,35,385,1096,996
llvm/llvm-project,34086,2016-12-07T09:39:33Z,2025-08-22T00:55:57Z,LLVM,136,55659,86495,60198
testerSunshine/12306,34047,2017-05-17T12:23:40Z,2023-04-02T03:19:43Z,Python,1,31,691,466
jaywcjlove/linux-command,34034,2016-11-12T15:44:26Z,2025-08-21T05:47:21Z,Markdown,31,356,207,133
atlassian/react-beautiful-dnd,34030,2017-08-09T03:37:15Z,2025-08-18T04:35:31Z,JavaScript,68,530,1617,1045
typicode/husky,34012,2014-06-23T12:14:21Z,2024-11-26T00:20:16Z,JavaScript,80,262,1088,1016
laravel/framework,33980,2013-01-10T21:27:28Z,2025-08-21T19:25:55Z,PHP,855,16632,18869,18827
python-poetry/poetry,33869,2018-02-28T15:23:47Z,2025-08-19T17:54:40Z,Python,142,2331,6232,5713
xkcoding/spring-boot-demo,33849,2017-11-10T06:27:29Z,2024-07-24T02:02:52Z,Java,0,15,173,73
anoma/anoma,33786,2021-02-02T10:00:16Z,2025-08-14T14:27:56Z,Elixir,10,856,699,578
geekcomputers/Python,33770,2011-11-30T09:04:08Z,2025-08-20T01:34:50Z,Python,0,1846,486,149
zsh-users/zsh-autosuggestions,33655,2013-10-26T16:09:37Z,2025-06-24T16:15:03Z,Shell,0,116,612,458
shadowsocks/shadowsocks,33647,2012-04-20T13:10:49Z,2024-04-01T09:07:32Z,Python,2,70,0,0
halfrost/LeetCode-Go,33643,2017-07-18T00:06:14Z,2024-12-11T05:55:51Z,Go,4,178,80,64
Blankj/AndroidUtilCode,33619,2016-07-30T18:18:32Z,2024-08-15T10:38:10Z,Java,117,88,1589,1280
alibaba/easyexcel,33584,2018-02-06T03:14:08Z,2024-10-29T06:07:07Z,Java,14,190,3619,3131
AFNetworking/AFNetworking,33534,2011-05-31T21:28:44Z,2023-01-17T19:30:05Z,Objective-C,40,710,0,0
zxing/zxing,33533,2011-10-12T14:07:27Z,2025-08-18T08:46:16Z,Java,31,318,1324,1314
TheAlgorithms/JavaScript,33529,2017-07-13T06:12:33Z,2025-01-22T07:00:31Z,JavaScript,0,795,209,200
deepseek-ai/awesome-deepseek-integration,33461,2024-01-11T02:43:17Z,2025-05-13T09:05:21Z,N/A,0,230,127,39
mattermost/mattermost,33435,2015-06-15T06:50:02Z,2025-08-21T23:56:15Z,TypeScript,845,19259,9047,8380
ShareX/ShareX,33428,2013-10-08T23:32:10Z,2025-08-21T20:10:49Z,C#,83,751,6879,6366
aseprite/aseprite,33427,2014-08-19T23:44:50Z,2025-08-21T18:33:34Z,C++,117,406,4286,2498
veggiemonk/awesome-docker,33403,2014-09-21T17:01:48Z,2025-08-06T16:26:29Z,N/A,1,939,130,127
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,33325,2015-03-28T16:52:40Z,2025-01-01T19:14:38Z,JavaScript,0,98,29,20
Pythagora-io/gpt-pilot,33311,2023-08-16T11:56:07Z,2025-03-04T06:26:32Z,Python,0,393,550,314
ehang-io/nps,33307,2018-11-04T13:22:51Z,2024-05-30T03:51:08Z,Go,59,74,1199,697
XX-net/XX-Net,33305,2015-01-15T09:35:51Z,2025-04-08T22:17:05Z,Python,388,363,13334,5418
exelban/stats,33256,2019-05-29T19:24:56Z,2025-08-21T18:48:22Z,Swift,301,409,2181,2153
jax-ml/jax,33233,2018-10-25T21:25:02Z,2025-08-22T00:58:54Z,Python,126,15093,6468,4880
carbon-language/carbon-lang,33162,2020-04-27T21:45:16Z,2025-08-22T00:28:17Z,C++,410,4356,713,561
adobe/brackets,33158,2011-12-07T21:14:40Z,2022-06-12T08:19:24Z,JavaScript,69,4332,9680,7063
danielmiessler/Fabric,33128,2024-01-03T23:18:31Z,2025-08-20T16:37:52Z,JavaScript,248,435,742,635
harness/harness,33110,2014-02-07T07:54:44Z,2025-08-21T14:55:30Z,Go,53,1047,2007,1933
gulpjs/gulp,33062,2013-07-04T05:26:06Z,2025-06-01T21:52:54Z,JavaScript,24,411,1937,1908
immutable-js/immutable-js,33056,2014-07-02T06:02:29Z,2025-08-20T14:22:48Z,TypeScript,89,598,1262,1169
mifi/lossless-cut,33004,2016-10-30T10:49:56Z,2025-08-18T23:00:34Z,TypeScript,100,202,1633,1426
SeleniumHQ/selenium,33002,2013-01-14T21:40:56Z,2025-08-22T00:41:21Z,Java,108,3014,10933,10783
bilibili/ijkplayer,32994,2013-06-03T04:12:04Z,2024-08-13T00:53:33Z,C,0,35,5375,2548
hashicorp/vault,32977,2015-02-25T00:15:59Z,2025-08-21T23:34:50Z,Go,168,21302,6385,5244
qishibo/AnotherRedisDesktopManager,32972,2019-01-08T06:01:56Z,2025-06-18T14:50:05Z,JavaScript,53,152,1066,927
CMU-Perceptual-Computing-Lab/openpose,32935,2017-04-24T14:06:31Z,2024-08-03T01:59:11Z,C++,15,174,2004,1667
lllyasviel/ControlNet,32923,2023-02-01T02:43:30Z,2024-02-25T09:49:39Z,Python,0,4,569,138
YunaiV/ruoyi-vue-pro,32890,2021-01-24T03:18:25Z,2025-08-20T13:38:57Z,Java,44,62,646,644
shadowsocks/ShadowsocksX-NG,32821,2016-06-10T11:49:00Z,2024-10-29T12:19:30Z,Swift,30,64,1358,1050
PatrickJS/awesome-cursorrules,32820,2024-09-16T15:38:38Z,2025-08-17T18:54:26Z,MDX,0,64,41,8
bayandin/awesome-awesomeness,32802,2014-07-08T05:44:19Z,2024-06-02T22:46:41Z,Ruby,0,197,68,52
lib-pku/libpku,32705,2018-11-22T13:33:06Z,2022-01-05T04:09:27Z,TeX,0,22,43,32
TheAlgorithms/C-Plus-Plus,32662,2016-07-16T10:19:45Z,2025-08-19T00:15:14Z,C++,0,685,321,311
AmruthPillai/Reactive-Resume,32644,2020-03-25T14:08:22Z,2025-08-22T00:11:11Z,TypeScript,95,633,1568,1248
swc-project/swc,32625,2017-12-22T11:40:14Z,2025-08-21T11:43:37Z,Rust,714,5595,3972,3572
facebookresearch/detectron2,32622,2019-09-05T21:30:20Z,2025-08-13T17:43:25Z,Python,10,0,3556,3091
qbittorrent/qBittorrent,32609,2012-02-04T09:37:46Z,2025-08-17T19:05:25Z,C++,0,3928,16846,14547
alan2207/bulletproof-react,32516,2021-05-30T14:47:16Z,2025-04-16T06:04:21Z,TypeScript,0,70,115,77
DataTalksClub/data-engineering-zoomcamp,32441,2021-10-21T09:32:50Z,2025-07-17T09:55:25Z,Jupyter Notebook,0,395,136,134
jqlang/jq,32438,2012-07-18T19:57:25Z,2025-08-18T09:06:57Z,C,15,640,2283,1920
pnpm/pnpm,32426,2016-01-28T07:40:43Z,2025-08-22T00:46:52Z,TypeScript,1000,2675,4891,3015
certbot/certbot,32405,2014-11-12T02:52:20Z,2025-08-21T18:33:59Z,Python,62,4004,5464,5339
